t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
2.7456e-08	NULL	0.655825	NULL	NULL	NULL	0.650893	NULL	NULL	NULL	NULL
2.752e-08	0.631721	NULL	NULL	0.581238	NULL	NULL	0.60636	NULL	NULL	NULL
2.7552e-08	NULL	NULL	NULL	NULL	0.652008	NULL	NULL	0.566844	NULL	0.590595
2.7584e-08	NULL	0.655896	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.7616e-08	NULL	NULL	NULL	NULL	NULL	0.651373	NULL	NULL	0.60432	NULL
2.768e-08	0.632318	NULL	NULL	NULL	NULL	NULL	0.607087	NULL	NULL	0.590826
2.7712e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.566716	NULL	NULL
2.7744e-08	NULL	NULL	0.611204	NULL	NULL	NULL	NULL	NULL	0.604577	NULL
2.7776e-08	NULL	0.655467	NULL	NULL	0.652598	0.651543	NULL	NULL	NULL	NULL
2.7808e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.566675	NULL	NULL
2.784e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.607858	NULL	NULL	NULL
2.7872e-08	0.632929	0.655635	0.611862	NULL	0.652912	NULL	NULL	NULL	NULL	0.590923
2.7904e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.566943	NULL	NULL
2.7936e-08	NULL	NULL	NULL	0.581904	NULL	0.651845	NULL	NULL	0.605416	NULL
2.7968e-08	NULL	NULL	NULL	NULL	0.653287	NULL	NULL	NULL	NULL	NULL
2.8e-08	0.633483	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.591188
2.8032e-08	NULL	0.656032	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.8064e-08	NULL	NULL	0.613126	0.582155	NULL	0.651894	NULL	NULL	NULL	NULL
2.8096e-08	0.633725	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.59121
2.816e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.567707	NULL	NULL
2.8256e-08	0.633891	NULL	NULL	NULL	NULL	NULL	0.610203	NULL	NULL	NULL
2.8288e-08	NULL	NULL	NULL	NULL	NULL	0.651691	NULL	NULL	NULL	NULL
2.832e-08	NULL	NULL	NULL	NULL	0.654091	NULL	NULL	NULL	NULL	NULL
2.8352e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.591317
2.8416e-08	NULL	0.656636	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.848e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.610805	NULL	NULL	NULL
2.8544e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.608074	NULL
2.8576e-08	0.634156	NULL	0.615878	0.58251	NULL	NULL	NULL	NULL	NULL	NULL
